advisory_title,bug_ids,cwe,summary,cvss_base_score,cves,publication_url,last_updated,sir,product_names,first_published,advisory_id,cvrfUrl
Cisco Unified Customer Voice Portal Cross-Site Scripting Vulnerability,CSCvw58146,CWE-79,"A vulnerability in the web-based management interface of Cisco Unified Customer Voice Portal (CVP) could allow an unauthenticated, remote attacker to perform a cross-site scripting (XSS) attack against a user. This vulnerability is due to insufficient input validation of a parameter that is used by the web-based management interface. An attacker could exploit this vulnerability by persuading a user to click a malicious link. A successful exploit could allow the attacker to execute arbitrary code in the context of the affected interface or access sensitive, browser-based information. If the targeted user has administrative privileges, the attacker may also be able to cause the affected device to reboot. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cvp-xss-yvE6L8Zq",6.1,CVE-2021-1599,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cvp-xss-yvE6L8Zq,2021-07-22T16:53:06,Medium,Cisco Unified Customer Voice Portal (CVP) ,2021-07-21T16:00:00,cisco-sa-cvp-xss-yvE6L8Zq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-cvp-xss-yvE6L8Zq/cvrf/cisco-sa-cvp-xss-yvE6L8Zq_cvrf.xml
Cisco SD-WAN vManage Software Information Disclosure Vulnerability,CSCvw53695,CWE-522,"A vulnerability in the CLI interface of Cisco SD-WAN vManage Software could allow an authenticated, local attacker to read arbitrary files on the underlying file system of an affected system. This vulnerability exists because access to sensitive information on an affected system is not sufficiently controlled. An attacker could exploit this vulnerability by gaining unauthorized access to sensitive information on an affected system. A successful exploit could allow the attacker to create forged authentication requests and gain unauthorized access to the web UI of an affected system. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmanage-infdis-LggOP9sE",5.5,CVE-2021-34700,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmanage-infdis-LggOP9sE,2021-07-21T23:00:00,Medium,Cisco SD-WAN vManage ,2021-07-21T23:00:00,cisco-sa-sdwan-vmanage-infdis-LggOP9sE,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-sdwan-vmanage-infdis-LggOP9sE/cvrf/cisco-sa-sdwan-vmanage-infdis-LggOP9sE_cvrf.xml
Cisco Firepower Device Manager On-Box Software Remote Code Execution Vulnerability,CSCvx44278,CWE-94,"A vulnerability in the REST API of Cisco Firepower Device Manager (FDM) On-Box Software could allow an authenticated, remote attacker to execute arbitrary code on the underlying operating system of an affected device. This vulnerability is due to insufficient sanitization of user input on specific REST API commands. An attacker could exploit this vulnerability by sending a crafted HTTP request to the API subsystem of an affected device. A successful exploit could allow the attacker to execute arbitrary code on the underlying operating system. To exploit this vulnerability, an attacker would need valid low-privileged user credentials. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-fdm-rce-Rx6vVurq",6.3,CVE-2021-1518,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-fdm-rce-Rx6vVurq,2021-07-21T23:00:00,Medium,Cisco Firepower Threat Defense Software 	Cisco Firepower Threat Defense Software 6.0.1	Cisco Firepower Threat Defense Software 6.0.1.3	Cisco Firepower Threat Defense Software 6.0.1.1	Cisco Firepower Threat Defense Software 6.0.1.2	Cisco Firepower Threat Defense Software 6.0.1.4	Cisco Firepower Threat Defense Software 6.1.0	Cisco Firepower Threat Defense Software 6.1.0.2	Cisco Firepower Threat Defense Software 6.1.0.1	Cisco Firepower Threat Defense Software 6.1.0.3	Cisco Firepower Threat Defense Software 6.1.0.4	Cisco Firepower Threat Defense Software 6.1.0.5	Cisco Firepower Threat Defense Software 6.1.0.6	Cisco Firepower Threat Defense Software 6.1.0.7	Cisco Firepower Threat Defense Software 6.2.0	Cisco Firepower Threat Defense Software 6.2.1	Cisco Firepower Threat Defense Software 6.2.2	Cisco Firepower Threat Defense Software 6.2.0.1	Cisco Firepower Threat Defense Software 6.2.0.2	Cisco Firepower Threat Defense Software 6.2.0.3	Cisco Firepower Threat Defense Software 6.2.0.4	Cisco Firepower Threat Defense Software 6.2.2.1	Cisco Firepower Threat Defense Software 6.2.2.2	Cisco Firepower Threat Defense Software 6.2.3	Cisco Firepower Threat Defense Software 6.2.3.1	Cisco Firepower Threat Defense Software 6.2.3.2	Cisco Firepower Threat Defense Software 6.2.3.3	Cisco Firepower Threat Defense Software 6.2.3.4	Cisco Firepower Threat Defense Software 6.2.3.5	Cisco Firepower Threat Defense Software 6.2.2.3	Cisco Firepower Threat Defense Software 6.2.2.4	Cisco Firepower Threat Defense Software 6.2.0.5	Cisco Firepower Threat Defense Software 6.2.0.6	Cisco Firepower Threat Defense Software 6.2.3.6	Cisco Firepower Threat Defense Software 6.2.2.5	Cisco Firepower Threat Defense Software 6.2.3.7	Cisco Firepower Threat Defense Software 6.2.3.8	Cisco Firepower Threat Defense Software 6.2.3.10	Cisco Firepower Threat Defense Software 6.2.3.11	Cisco Firepower Threat Defense Software 6.2.3.9	Cisco Firepower Threat Defense Software 6.2.3.12	Cisco Firepower Threat Defense Software 6.2.3.13	Cisco Firepower Threat Defense Software 6.2.3.14	Cisco Firepower Threat Defense Software 6.2.3.15	Cisco Firepower Threat Defense Software 6.2.3.16	Cisco Firepower Threat Defense Software 6.6.0	Cisco Firepower Threat Defense Software 6.6.0.1	Cisco Firepower Threat Defense Software 6.6.1	Cisco Firepower Threat Defense Software 6.6.3	Cisco Firepower Threat Defense Software 6.3.0	Cisco Firepower Threat Defense Software 6.3.0.1	Cisco Firepower Threat Defense Software 6.3.0.2	Cisco Firepower Threat Defense Software 6.3.0.3	Cisco Firepower Threat Defense Software 6.3.0.4	Cisco Firepower Threat Defense Software 6.3.0.5	Cisco Firepower Threat Defense Software 6.4.0	Cisco Firepower Threat Defense Software 6.4.0.1	Cisco Firepower Threat Defense Software 6.4.0.3	Cisco Firepower Threat Defense Software 6.4.0.2	Cisco Firepower Threat Defense Software 6.4.0.4	Cisco Firepower Threat Defense Software 6.4.0.5	Cisco Firepower Threat Defense Software 6.4.0.6	Cisco Firepower Threat Defense Software 6.4.0.7	Cisco Firepower Threat Defense Software 6.4.0.8	Cisco Firepower Threat Defense Software 6.4.0.9	Cisco Firepower Threat Defense Software 6.4.0.10	Cisco Firepower Threat Defense Software 6.4.0.11	Cisco Firepower Threat Defense Software 6.5.0	Cisco Firepower Threat Defense Software 6.5.0.2	Cisco Firepower Threat Defense Software 6.5.0.4	Cisco Firepower Threat Defense Software 6.5.0.1	Cisco Firepower Threat Defense Software 6.5.0.3	Cisco Firepower Threat Defense Software 6.5.0.5	Cisco Firepower Threat Defense Software 6.7.0	Cisco Firepower Threat Defense Software 6.7.0.1,2021-07-21T23:00:00,cisco-sa-fdm-rce-Rx6vVurq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-fdm-rce-Rx6vVurq/cvrf/cisco-sa-fdm-rce-Rx6vVurq_cvrf.xml
Cisco SD-WAN Software Information Disclosure Vulnerability,CSCvu28403,CWE-126,"A vulnerability in the Multiprotocol Label Switching (MPLS) packet handling function of Cisco SD-WAN Software could allow an unauthenticated, remote attacker to gain access to information stored in MPLS buffer memory. This vulnerability is due to insufficient handling of malformed MPLS packets that are processed by a device that is running Cisco SD-WAN Software. An attacker could exploit this vulnerability by sending a crafted MPLS packet to an affected device that is running Cisco SD-WAN Software or Cisco SD-WAN vManage Software. A successful exploit could allow the attacker to gain unauthorized access to sensitive information. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq",5.3,CVE-2021-1614,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq,2021-07-21T23:00:00,Medium,Cisco SD-WAN Solution 	Cisco SD-WAN vManage 	Cisco SD-WAN vEdge router 	Cisco SD-WAN vEdge Cloud 	Cisco SD-WAN vContainer ,2021-07-21T23:00:00,cisco-sa-sdw-mpls-infodisclos-MSSRFkZq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq/cvrf/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq_cvrf.xml
Cisco Unified Intelligence Center Reflected Cross-Site Scripting Vulnerability,CSCvw91916	CSCvx47672,CWE-79,"A vulnerability in the web-based management interface of Cisco Unified Intelligence Center could allow an unauthenticated, remote attacker to conduct a cross-site scripting (XSS) attack against a user of the interface. This vulnerability exists because the web-based management interface does not properly validate user-supplied input. An attacker could exploit this vulnerability by persuading a user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the interface or access sensitive, browser-based information. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cuic-xss-csHUdtrL",6.1,CVE-2021-1395,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cuic-xss-csHUdtrL,2021-07-21T19:55:20,Medium,Cisco Unified Contact Center Express 	Cisco Unified Intelligence Center ,2021-06-16T16:00:00,cisco-sa-cuic-xss-csHUdtrL,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-cuic-xss-csHUdtrL/cvrf/cisco-sa-cuic-xss-csHUdtrL_cvrf.xml
Cisco Intersight Virtual Appliance IPv4 and IPv6 Forwarding Vulnerabilities,CSCvx84462	CSCvy29625,CWE-284,"Multiple vulnerabilities in Cisco Intersight Virtual Appliance could allow an unauthenticated, adjacent attacker to access sensitive internal services from an external interface. These vulnerabilities are due to insufficient restrictions for IPv4 or IPv6 packets that are received on the external management interface. An attacker could exploit these vulnerabilities by sending specific traffic to this interface on an affected device. A successful exploit could allow the attacker to access sensitive internal services and make configuration changes on the affected device. Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8",8.3,CVE-2021-1600	CVE-2021-1601,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8,2021-07-21T16:00:00,High,Cisco Intersight Virtual Appliance ,2021-07-21T16:00:00,cisco-sa-ucsi2-iptaclbp-L8Dzs8m8,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8/cvrf/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8_cvrf.xml
Cisco Intersight Virtual Appliance Vulnerabilities,CSCvy29621	CSCvy29622,CWE-36	CWE-78,"Multiple vulnerabilities in the web-based management interface of Cisco Intersight Virtual Appliance could allow an authenticated, remote attacker to conduct a path traversal or command injection attack on an affected system. These vulnerabilities are due to insufficient input validation. An attacker could exploit these vulnerabilities by using the web-based management interface to do one or both of the following: Execute a command using crafted input Upload a file that has been altered using path traversal techniques A successful exploit could allow the attacker to read and write arbitrary files or execute arbitrary commands as root on an affected system. For more information about these vulnerabilities, see the Details section of this advisory. Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-dtcinj-yH5U4RSx",6.5,CVE-2021-1617	CVE-2021-1618,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-dtcinj-yH5U4RSx,2021-07-21T16:00:00,Medium,Cisco Intersight Virtual Appliance ,2021-07-21T16:00:00,cisco-sa-ucsi2-dtcinj-yH5U4RSx,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ucsi2-dtcinj-yH5U4RSx/cvrf/cisco-sa-ucsi2-dtcinj-yH5U4RSx_cvrf.xml
Cisco Integrated Management Controller Open Redirect Vulnerability,CSCvv79920,CWE-601,"A vulnerability in the web-based management interface of Cisco Integrated Management Controller (IMC) Software could allow an unauthenticated, remote attacker to redirect a user to a malicious web page. This vulnerability is due to improper input validation of the parameters in an HTTP request. An attacker could exploit this vulnerability by persuading a user to click a crafted link. A successful exploit could allow the attacker to redirect a user to a malicious website. This vulnerability is known as an open redirect attack, which is used in phishing attacks to get users to visit malicious sites without their knowledge. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-imc-openred-zAYrU6d2",4.7,CVE-2021-1397,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-imc-openred-zAYrU6d2,2021-07-16T17:37:29,Medium,Cisco Unified Computing System E-Series Software (UCSE) 	Cisco Enterprise NFV Infrastructure Software ,2021-05-05T16:00:00,cisco-sa-imc-openred-zAYrU6d2,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-imc-openred-zAYrU6d2/cvrf/cisco-sa-imc-openred-zAYrU6d2_cvrf.xml
Cisco Adaptive Security Appliance Software Release 9.16.1 and Cisco Firepower Threat Defense Software Release 7.0.0 IPsec Denial of Service Vulnerability,CSCvy66711,CWE-617,"A vulnerability in the software cryptography module of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an authenticated, remote attacker or an unauthenticated attacker in a man-in-the-middle position to cause an unexpected reload of the device that results in a denial of service (DoS) condition. The vulnerability is due to a logic error in how the software cryptography module handles specific types of decryption errors. An attacker could exploit this vulnerability by sending malicious packets over an established IPsec connection. A successful exploit could cause the device to crash, forcing it to reload. Important: Successful exploitation of this vulnerability would not cause a compromise of any encrypted data. Note: This vulnerability affects only Cisco ASA Software Release 9.16.1 and Cisco FTD Software Release 7.0.0. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC",7.7,CVE-2021-1422,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC,2021-07-16T14:57:55,High,Cisco Adaptive Security Appliance (ASA) Software 	Cisco Firepower Threat Defense Software 	Cisco Adaptive Security Appliance (ASA) Software 9.16.1	Cisco Firepower Threat Defense Software 7.0.0,2021-07-15T16:00:00,cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC/cvrf/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC_cvrf.xml
Multiple Vulnerabilities in Frame Aggregation and Fragmentation Implementations of 802.11 Specification Affecting Cisco Products: May 2021,CSCvx24420	CSCvx24423	CSCvx24425	CSCvx24428	CSCvx24439	CSCvx24440	CSCvx24441	CSCvx24449	CSCvx24452	CSCvx24456	CSCvx60997	CSCvx61001	CSCvx61005	CSCvx61012	CSCvx61020	CSCvx62876	CSCvx62884	CSCvx62886	CSCvx89821	CSCvy32680	CSCvy32690	CSCvy32694,CWE-345	CWE-772	CWE-99,"On May 11, 2021, the research paper Fragment and Forge: Breaking Wi-Fi Through Frame Aggregation and Fragmentation was made public. This paper discusses 12 vulnerabilities in the 802.11 standard. One vulnerability is in the frame aggregation functionality, two vulnerabilities are in the frame fragmentation functionality, and the other nine are implementation vulnerabilities. These vulnerabilities could allow an attacker to forge encrypted frames, which could in turn enable the exfiltration of sensitive data from a targeted device. This advisory will be updated as additional information becomes available. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-wifi-faf-22epcEWu",6.5,CVE-2020-24586	CVE-2020-24587	CVE-2020-24588	CVE-2020-26139	CVE-2020-26140	CVE-2020-26141	CVE-2020-26142	CVE-2020-26143	CVE-2020-26144	CVE-2020-26145	CVE-2020-26146	CVE-2020-26147,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-wifi-faf-22epcEWu,2021-07-13T18:42:53,Medium,Cisco Aironet Access Point Software 	Cisco IP Phones with Multiplatform Firmware 	Cisco TelePresence Endpoint Software (TC/CE) 	Cisco Webex Room Phone 	Cisco Business Wireless Access Point Software 	Cisco Aironet Access Point Software (IOS XE Controller) ,2021-05-11T18:00:00,cisco-sa-wifi-faf-22epcEWu,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-wifi-faf-22epcEWu/cvrf/cisco-sa-wifi-faf-22epcEWu_cvrf.xml
