advisory_id,cves,publication_url,cvrfUrl,last_updated,product_names,advisory_title,bug_ids,cwe,summary,first_published,cvss_base_score,sir
cisco-sa-cvp-xss-yvE6L8Zq,CVE-2021-1599,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cvp-xss-yvE6L8Zq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-cvp-xss-yvE6L8Zq/cvrf/cisco-sa-cvp-xss-yvE6L8Zq_cvrf.xml,2021-07-22T16:53:06,Cisco Unified Customer Voice Portal (CVP) ,Cisco Unified Customer Voice Portal Cross-Site Scripting Vulnerability,CSCvw58146,CWE-79,"<p>A vulnerability in the web-based management interface of Cisco&nbsp;Unified Customer Voice Portal (CVP) could allow an unauthenticated, remote attacker to perform a cross-site scripting (XSS) attack against a user.</p><p>This vulnerability is due to insufficient input validation of a parameter that is used by the web-based management interface. An attacker could exploit this vulnerability by persuading a user to click a malicious link. A successful exploit could allow the attacker to execute arbitrary code in the context of the affected interface or access sensitive, browser-based information. If the targeted user has administrative privileges, the attacker may also be able to cause the affected device to reboot.</p><p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p><p>This advisory is available at the following link:<br><a id=""u_psirt_publication.u_public_url_link"" class=""web web-inline form-control-static"" href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cvp-xss-yvE6L8Zq"" target=""gsft_link"" name=""u_psirt_publication.u_public_url_link"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cvp-xss-yvE6L8Zq</a></p>",2021-07-21T16:00:00,6.1,Medium
cisco-sa-sdwan-vmanage-infdis-LggOP9sE,CVE-2021-34700,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmanage-infdis-LggOP9sE,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-sdwan-vmanage-infdis-LggOP9sE/cvrf/cisco-sa-sdwan-vmanage-infdis-LggOP9sE_cvrf.xml,2021-07-21T23:00:00,Cisco SD-WAN vManage ,Cisco SD-WAN vManage Software Information Disclosure Vulnerability,CSCvw53695,CWE-522,"<p>A vulnerability in the CLI interface of Cisco&nbsp;SD-WAN vManage Software could allow an authenticated, local attacker to read arbitrary files on the underlying file system of an affected system.</p>
<p>This vulnerability exists because access to sensitive information on an affected system is not sufficiently controlled. An attacker could exploit this vulnerability by gaining unauthorized access to sensitive information on an affected system. A successful exploit could allow the attacker to create forged authentication requests and gain unauthorized access to the web UI of an affected system.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmanage-infdis-LggOP9sE"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmanage-infdis-LggOP9sE</a></p>",2021-07-21T23:00:00,5.5,Medium
cisco-sa-fdm-rce-Rx6vVurq,CVE-2021-1518,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-fdm-rce-Rx6vVurq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-fdm-rce-Rx6vVurq/cvrf/cisco-sa-fdm-rce-Rx6vVurq_cvrf.xml,2021-07-21T23:00:00,"Cisco Firepower Threat Defense Software 	Cisco Firepower Threat Defense Software 6.0.1	Cisco Firepower Threat Defense Software 6.0.1.3	Cisco Firepower Threat Defense Software 6.0.1.1	Cisco Firepower Threat Defense Software 6.0.1.2	Cisco Firepower Threat Defense Software 6.0.1.4	Cisco Firepower Threat Defense Software 6.1.0	Cisco Firepower Threat Defense Software 6.1.0.2	Cisco Firepower Threat Defense Software 6.1.0.1	Cisco Firepower Threat Defense Software 6.1.0.3	Cisco Firepower Threat Defense Software 6.1.0.4	Cisco Firepower Threat Defense Software 6.1.0.5	Cisco Firepower Threat Defense Software 6.1.0.6	Cisco Firepower Threat Defense Software 6.1.0.7	Cisco Firepower Threat Defense Software 6.2.0	Cisco Firepower Threat Defense Software 6.2.1	Cisco Firepower Threat Defense Software 6.2.2	Cisco Firepower Threat Defense Software 6.2.0.1	Cisco Firepower Threat Defense Software 6.2.0.2	Cisco Firepower Threat Defense Software 6.2.0.3	Cisco Firepower Threat Defense Software 6.2.0.4	Cisco Firepower Threat Defense Software 6.2.2.1	Cisco Firepower Threat Defense Software 6.2.2.2	Cisco Firepower Threat Defense Software 6.2.3	Cisco Firepower Threat Defense Software 6.2.3.1	Cisco Firepower Threat Defense Software 6.2.3.2	Cisco Firepower Threat Defense Software 6.2.3.3	Cisco Firepower Threat Defense Software 6.2.3.4	Cisco Firepower Threat Defense Software 6.2.3.5	Cisco Firepower Threat Defense Software 6.2.2.3	Cisco Firepower Threat Defense Software 6.2.2.4	Cisco Firepower Threat Defense Software 6.2.0.5	Cisco Firepower Threat Defense Software 6.2.0.6	Cisco Firepower Threat Defense Software 6.2.3.6	Cisco Firepower Threat Defense Software 6.2.2.5	Cisco Firepower Threat Defense Software 6.2.3.7	Cisco Firepower Threat Defense Software 6.2.3.8	Cisco Firepower Threat Defense Software 6.2.3.10	Cisco Firepower Threat Defense Software 6.2.3.11	Cisco Firepower Threat Defense Software 6.2.3.9	Cisco Firepower Threat Defense Software 6.2.3.12	Cisco Firepower Threat Defense Software 6.2.3.13	Cisco Firepower Threat Defense Software 6.2.3.14	Cisco Firepower Threat Defense Software 6.2.3.15	Cisco Firepower Threat Defense Software 6.2.3.16	Cisco Firepower Threat Defense Software 6.6.0	Cisco Firepower Threat Defense Software 6.6.0.1	Cisco Firepower Threat Defense Software 6.6.1	Cisco Firepower Threat Defense Software 6.6.3	Cisco Firepower Threat Defense Software 6.3.0	Cisco Firepower Threat Defense Software 6.3.0.1	Cisco Firepower Threat Defense Software 6.3.0.2	Cisco Firepower Threat Defense Software 6.3.0.3	Cisco Firepower Threat Defense Software 6.3.0.4	Cisco Firepower Threat Defense Software 6.3.0.5	Cisco Firepower Threat Defense Software 6.4.0	Cisco Firepower Threat Defense Software 6.4.0.1	Cisco Firepower Threat Defense Software 6.4.0.3	Cisco Firepower Threat Defense Software 6.4.0.2	Cisco Firepower Threat Defense Software 6.4.0.4	Cisco Firepower Threat Defense Software 6.4.0.5	Cisco Firepower Threat Defense Software 6.4.0.6	Cisco Firepower Threat Defense Software 6.4.0.7	Cisco Firepower Threat Defense Software 6.4.0.8	Cisco Firepower Threat Defense Software 6.4.0.9	Cisco Firepower Threat Defense Software 6.4.0.10	Cisco Firepower Threat Defense Software 6.4.0.11	Cisco Firepower Threat Defense Software 6.5.0	Cisco Firepower Threat Defense Software 6.5.0.2	Cisco Firepower Threat Defense Software 6.5.0.4	Cisco Firepower Threat Defense Software 6.5.0.1	Cisco Firepower Threat Defense Software 6.5.0.3	Cisco Firepower Threat Defense Software 6.5.0.5	Cisco Firepower Threat Defense Software 6.7.0	Cisco Firepower Threat Defense Software 6.7.0.1",Cisco Firepower Device Manager On-Box Software Remote Code Execution Vulnerability,CSCvx44278,CWE-94,"<p>A vulnerability in the REST API of Cisco&nbsp;Firepower Device Manager (FDM) On-Box Software could allow an authenticated, remote attacker to execute arbitrary code on the underlying operating system of an affected device.</p>
<p>This vulnerability is due to insufficient sanitization of user input on specific REST API commands. An attacker could exploit this vulnerability by sending a crafted HTTP request to the API subsystem of an affected device. A successful exploit could allow the attacker to execute arbitrary code on the underlying operating system. To exploit this vulnerability, an attacker would need valid low-privileged user credentials.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-fdm-rce-Rx6vVurq"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-fdm-rce-Rx6vVurq</a></p>",2021-07-21T23:00:00,6.3,Medium
cisco-sa-sdw-mpls-infodisclos-MSSRFkZq,CVE-2021-1614,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq/cvrf/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq_cvrf.xml,2021-07-21T23:00:00,"Cisco SD-WAN Solution 	Cisco SD-WAN vManage 	Cisco SD-WAN vEdge router 	Cisco SD-WAN vEdge Cloud 	Cisco SD-WAN vContainer ",Cisco SD-WAN Software Information Disclosure Vulnerability,CSCvu28403,CWE-126,"<p>A vulnerability in the Multiprotocol Label Switching (MPLS) packet handling function of Cisco&nbsp;SD-WAN Software could allow an unauthenticated, remote attacker to gain access to information stored in MPLS buffer memory.</p>
<p>This vulnerability is due to insufficient handling of malformed MPLS packets that are processed by a device that is running Cisco&nbsp;SD-WAN Software. An attacker could exploit this vulnerability by sending a crafted MPLS packet to an affected device that is running Cisco&nbsp;SD-WAN Software or Cisco&nbsp;SD-WAN vManage Software. A successful exploit could allow the attacker to gain unauthorized access to sensitive information.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdw-mpls-infodisclos-MSSRFkZq</a></p>",2021-07-21T23:00:00,5.3,Medium
cisco-sa-cuic-xss-csHUdtrL,CVE-2021-1395,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cuic-xss-csHUdtrL,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-cuic-xss-csHUdtrL/cvrf/cisco-sa-cuic-xss-csHUdtrL_cvrf.xml,2021-07-21T19:55:20,"Cisco Unified Contact Center Express 	Cisco Unified Intelligence Center ",Cisco Unified Intelligence Center Reflected Cross-Site Scripting Vulnerability,"CSCvw91916	CSCvx47672",CWE-79,"<p>A vulnerability in the web-based management interface of Cisco&nbsp;Unified Intelligence Center could allow an unauthenticated, remote attacker to conduct a cross-site scripting (XSS) attack against a user of the interface.&nbsp;</p>
<p>This vulnerability exists because the web-based management interface does not properly validate user-supplied input. An attacker could exploit this vulnerability by persuading a user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the interface or access sensitive, browser-based information.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cuic-xss-csHUdtrL"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cuic-xss-csHUdtrL</a></p>",2021-06-16T16:00:00,6.1,Medium
cisco-sa-ucsi2-iptaclbp-L8Dzs8m8,"CVE-2021-1600	CVE-2021-1601",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8/cvrf/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8_cvrf.xml,2021-07-21T16:00:00,Cisco Intersight Virtual Appliance ,Cisco Intersight Virtual Appliance IPv4 and IPv6 Forwarding Vulnerabilities,"CSCvx84462	CSCvy29625",CWE-284,"<p>Multiple vulnerabilities in Cisco&nbsp;Intersight Virtual Appliance could allow an unauthenticated, adjacent attacker to access sensitive internal services from an external interface.</p>
<p>These vulnerabilities are due to insufficient restrictions for IPv4 or IPv6 packets that are received on the external management interface. An attacker could exploit these vulnerabilities by sending specific traffic to this interface on an affected device. A successful exploit could allow the attacker to access sensitive internal services and make configuration changes on the affected device.&nbsp;</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-iptaclbp-L8Dzs8m8</a></p>",2021-07-21T16:00:00,8.3,High
cisco-sa-ucsi2-dtcinj-yH5U4RSx,"CVE-2021-1617	CVE-2021-1618",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-dtcinj-yH5U4RSx,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ucsi2-dtcinj-yH5U4RSx/cvrf/cisco-sa-ucsi2-dtcinj-yH5U4RSx_cvrf.xml,2021-07-21T16:00:00,Cisco Intersight Virtual Appliance ,Cisco Intersight Virtual Appliance Vulnerabilities,"CSCvy29621	CSCvy29622","CWE-36	CWE-78","<p>Multiple vulnerabilities in the web-based management interface of Cisco&nbsp;Intersight Virtual Appliance could allow an authenticated, remote attacker to conduct a path traversal or command injection attack on an affected system.</p>
<p>These vulnerabilities are due to insufficient input validation. An attacker could exploit these vulnerabilities by using the web-based management interface to do one or both of the following:</p>
<ul>
<li>Execute a command using crafted input</li>
<li>Upload a file that has been altered using path traversal techniques</li>
</ul>
<p>A successful exploit could allow the attacker to read and write arbitrary files or execute arbitrary commands as <em>root</em> on an affected system.</p>
<p>For more information about these vulnerabilities, see the <a href=""#details"">Details</a> section of this advisory.</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-dtcinj-yH5U4RSx"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ucsi2-dtcinj-yH5U4RSx</a></p>",2021-07-21T16:00:00,6.5,Medium
cisco-sa-imc-openred-zAYrU6d2,CVE-2021-1397,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-imc-openred-zAYrU6d2,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-imc-openred-zAYrU6d2/cvrf/cisco-sa-imc-openred-zAYrU6d2_cvrf.xml,2021-07-16T17:37:29,"Cisco Unified Computing System E-Series Software (UCSE) 	Cisco Enterprise NFV Infrastructure Software ",Cisco Integrated Management Controller Open Redirect Vulnerability,CSCvv79920,CWE-601,"<p>A vulnerability in the web-based management interface of Cisco&nbsp;Integrated Management Controller (IMC) Software could allow an unauthenticated, remote attacker to redirect a user to a malicious web page.<em> <br></em></p>
<p>This vulnerability is due to improper input validation of the parameters in an HTTP request. An attacker could exploit this vulnerability by persuading a user to click a crafted link. A successful exploit could allow the attacker to redirect a user to a malicious website. This vulnerability is known as an open redirect attack, which is used in phishing attacks to get users to visit malicious sites without their knowledge.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-imc-openred-zAYrU6d2"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-imc-openred-zAYrU6d2</a></p>",2021-05-05T16:00:00,4.7,Medium
cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC,CVE-2021-1422,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC/cvrf/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC_cvrf.xml,2021-07-16T14:57:55,"Cisco Adaptive Security Appliance (ASA) Software 	Cisco Firepower Threat Defense Software 	Cisco Adaptive Security Appliance (ASA) Software 9.16.1	Cisco Firepower Threat Defense Software 7.0.0",Cisco Adaptive Security Appliance Software Release 9.16.1 and Cisco Firepower Threat Defense Software Release 7.0.0 IPsec Denial of Service Vulnerability,CSCvy66711,CWE-617,"<p>A vulnerability in the software cryptography module of Cisco&nbsp;Adaptive Security Appliance (ASA) Software and Cisco&nbsp;Firepower Threat Defense (FTD) Software could allow an authenticated, remote attacker or an unauthenticated attacker in a man-in-the-middle position to cause an unexpected reload of the device that results in a denial of service (DoS) condition.&nbsp;</p>
<p>The vulnerability is due to a logic error in how the software cryptography module handles specific types of decryption errors. An attacker could exploit this vulnerability by sending malicious packets over an established IPsec connection. A successful exploit could cause the device to crash, forcing it to reload. <strong>Important</strong>: Successful exploitation of this vulnerability would not cause a compromise of any encrypted data.</p>
<p><strong>Note: </strong>This vulnerability affects only Cisco&nbsp;ASA Software Release 9.16.1 and Cisco&nbsp;FTD Software Release 7.0.0.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asa-ftd-ipsec-dos-TFKQbgWC</a></p>",2021-07-15T16:00:00,7.7,High
cisco-sa-wifi-faf-22epcEWu,"CVE-2020-24586	CVE-2020-24587	CVE-2020-24588	CVE-2020-26139	CVE-2020-26140	CVE-2020-26141	CVE-2020-26142	CVE-2020-26143	CVE-2020-26144	CVE-2020-26145	CVE-2020-26146	CVE-2020-26147",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-wifi-faf-22epcEWu,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-wifi-faf-22epcEWu/cvrf/cisco-sa-wifi-faf-22epcEWu_cvrf.xml,2021-07-13T18:42:53,"Cisco Aironet Access Point Software 	Cisco IP Phones with Multiplatform Firmware 	Cisco TelePresence Endpoint Software (TC/CE) 	Cisco Webex Room Phone 	Cisco Business Wireless Access Point Software 	Cisco Aironet Access Point Software (IOS XE Controller) ",Multiple Vulnerabilities in Frame Aggregation and Fragmentation Implementations of 802.11 Specification Affecting Cisco Products: May 2021,"CSCvx24420	CSCvx24423	CSCvx24425	CSCvx24428	CSCvx24439	CSCvx24440	CSCvx24441	CSCvx24449	CSCvx24452	CSCvx24456	CSCvx60997	CSCvx61001	CSCvx61005	CSCvx61012	CSCvx61020	CSCvx62876	CSCvx62884	CSCvx62886	CSCvx89821	CSCvy32680	CSCvy32690	CSCvy32694","CWE-345	CWE-772	CWE-99","<p>On May 11, 2021, the research paper <em>Fragment and Forge: Breaking Wi-Fi Through Frame Aggregation and Fragmentation</em>&nbsp;was made public. This paper discusses 12 vulnerabilities in the 802.11 standard. One vulnerability is in the frame aggregation functionality, two vulnerabilities are in the frame fragmentation functionality, and the other nine are implementation vulnerabilities. These vulnerabilities could allow an attacker to forge encrypted frames, which could in turn enable the exfiltration of sensitive data from a targeted device.</p>
<p>This advisory will be updated as additional information becomes available.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-wifi-faf-22epcEWu"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-wifi-faf-22epcEWu</a></p>",2021-05-11T18:00:00,6.5,Medium
