,"APM None
LTM None
DNS None",,,,,
K54308152,,,,,,
,"APM None
LTM None
DNS None",,,,,
K50642058,,,,,,
BIG-IP (all modules),16.x,None,Not applicable,Not vulnerable3,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable3,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K75133288,,,,,,
,"APM None
LTM None
DNS None",,,,,
K23180157,,,,,,
BIG-IP (all modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,5.1.0,None,High,7.5,Apache Tomcat
K87895241,,,,,,
BIG-IP (all modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,5.1.0,None,Medium,6.5,Apache Tomcat
K35033051,,,,,,
BIG-IP (all modules),16.x,16.0.0 - 16.0.1,None,Low,3.3,glibc library
 ,15.x,15.1.0 - 15.1.3,None,,,
 ,14.x,14.1.0 - 14.1.4,None,,,
 ,13.x,13.1.0 - 13.1.4,None,,,
 ,12.x,12.1.0 - 12.1.6,None,,,
 ,11.x,11.6.1 - 11.6.5,None,,,
BIG-IQ Centralized Management,8.x,8.0.0 - 8.1.0,None,Low,3.3,glibc library
 ,7.x,7.0.0 - 7.1.0,None,,,
 ,6.x,6.0.1 - 6.1.0,None,,,
F5OS,1.x,1.1.0 - 1.1.2,None,Low,3.3,glibc library
Traffix SDC,5.x,5.1.0,None,Low,3.3,glibc library
K52494142,,,,,,
BIG-IP (SSL Orchestrator),16.x,16.0.0 - 16.1.0,None,Medium,5.4,SSL Orchestrator
 ,15.x,15.1.0 - 15.1.3,None,,,
