"Source 
(H -HK-CERT/
U - US-CERT/
M - MSS)","Primary
			Vendor -- Product",Description,Published,CVSS Score,Source & Patch Info,"Relevant to Corporate IT 
(Yes / No / Maybe)",Vuln
 ,echobh -- sharecare,"Echo ShareCare 8.15.5 is susceptible to SQL injection vulnerabilities when processing remote input from both authenticated and unauthenticated users, leading to the ability to bypass authentication, exfiltrate Structured Query Language (SQL) records, and manipulate data.",2021-07-13,7.5,CVE-2021-33578, ,High
 ,echobh -- sharecare,"An issue was discovered in Echo ShareCare 8.15.5. It does not perform authentication or authorization checks when accessing a subset of sensitive resources, leading to the ability for unauthenticated users to access pages that are vulnerable to attacks such as SQL injection.",2021-07-13,7.5,CVE-2021-36124, ,High
 ,espruino -- espruino,"Buffer overflow vulnerability in function jsvGetStringChars in Espruino before RELEASE_2V09, allows remote attackers to execute arbitrary code.",2021-07-13,7.5,CVE-2020-22884, ,High
 ,fortinet -- forticlient,An improper symlink following in FortiClient for Mac 6.4.3 and below may allow an non-privileged user to execute arbitrary privileged shell commands during installation phase.,2021-07-12,7.2,CVE-2021-26089, ,High
 ,fortinet -- fortimail,"A missing cryptographic step in the implementation of the hash digest algorithm in FortiMail 6.4.0 through 6.4.4, and 6.2.0 through 6.2.7 may allow an unauthenticated attacker to tamper with signed URLs by appending further data which allows bypass of signature verification.",2021-07-09,7.5,CVE-2021-24020, ,High
 ,fortinet -- fortimail,Multiple improper neutralization of special elements of SQL commands vulnerabilities in FortiMail before 6.4.4 may allow a non-authenticated attacker to execute unauthorized code or commands via specifically crafted HTTP requests.,2021-07-09,7.5,CVE-2021-24007, ,High
 ,golang -- go,golang/go in 1.0.2 fixes all.bash on shared machines. dotest() in src/pkg/debug/gosym/pclntab_test.go creates a temporary file with predicable name and executes it as shell script.,2021-07-09,7.5,CVE-2012-2666, ,High
 ,google -- android,"In phNciNfc_RecvMfResp of phNxpExtns_MifareStd.cpp, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure over NFC with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11 Android-8.1 Android-9 Android-10Android ID: A-181346550",2021-07-14,7.8,CVE-2021-0596, ,High
 ,google -- android,"In setNiNotification of GpsNetInitiatedHandler.java, there is a possible permissions bypass due to an empty mutable PendingIntent. This could lead to local escalation of privilege with User execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-8.1 Android-9Android ID: A-154319182",2021-07-14,7.2,CVE-2020-0417, ,High
 ,google -- android,"In flv extractor, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android SoCAndroid ID: A-187161771",2021-07-14,7.2,CVE-2021-0577, ,High
 ,google -- android,"In Factory::CreateStrictFunctionMap of factory.cc, there is a possible out of bounds write due to an incorrect bounds check. This could lead to remote code execution in an unprivileged process with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-9 Android-10 Android-11 Android-8.1Android ID: A-167389063",2021-07-14,10,CVE-2021-0515, ,High
 ,google -- android,"In beginWrite and beginRead of MessageQueueBase.h, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.1 Android-9 Android-10 Android-11Android ID: A-184963385",2021-07-14,7.2,CVE-2021-0585, ,High
 ,google -- android,"In onCreate of ConfirmConnectActivity, there is a possible remote bypass of user consent due to improper input validation. This could lead to remote (proximal, NFC) escalation of privilege allowing an attacker to deceive a user into allowing a Bluetooth connection with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-11 Android-8.1 Android-9 Android-10Android ID: A-176445224",2021-07-14,7.9,CVE-2021-0594, ,High
 ,google -- android,"In StreamOut::prepareForWriting of StreamOut.cpp, there is a possible out of bounds write due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.1 Android-9 Android-10 Android-11Android ID: A-185259758",2021-07-14,7.2,CVE-2021-0587, ,High
 ,google -- android,"In BTM_TryAllocateSCN of btm_scn.cc, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local escalation of privilege with User execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11 Android-8.1 Android-9 Android-10Android ID: A-180939982",2021-07-14,7.2,CVE-2021-0589, ,High
 ,google -- android,"In various functions in WideVine, there are possible out of bounds writes due to improper input validation. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android SoCAndroid ID: A-188061006",2021-07-14,9.3,CVE-2021-0592, ,High
 ,google -- android,"In several functions of the V8 library, there is a possible use after free due to a race condition. This could lead to remote code execution in an unprivileged process with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-9 Android-11 Android-8.1Android ID: A-162604069",2021-07-14,9.3,CVE-2021-0514, ,High
 ,google -- android,"In onCreateOptionsMenu of WifiNetworkDetailsFragment.java, there is a possible way for guest users to view and modify Wi-Fi settings for all configured APs due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11Android ID: A-177573895",2021-07-14,7.2,CVE-2021-0602, ,High
 ,halo -- halo,Remote Code Executon vulnerability in Halo 0.4.3 via the remoteAddr and themeName parameters.,2021-07-12,7.5,CVE-2020-18980, ,High
 ,jsish -- jsish,"Integer overflow vulnerability in function Jsi_ObjSetLength in jsish before 3.0.6, allows remote attackers to execute arbitrary code.",2021-07-13,7.5,CVE-2020-22875, ,High
 ,jsish -- jsish,"Integer overflow vulnerability in function Jsi_ObjArraySizer in jsish before 3.0.8, allows remote attackers to execute arbitrary code.",2021-07-13,7.5,CVE-2020-22874, ,High
 ,jsish -- jsish,"Buffer overflow vulnerability in function NumberToPrecisionCmd in jsish before 3.0.7, allows remote attackers to execute arbitrary code.",2021-07-13,7.5,CVE-2020-22873, ,High
 ,kaseya -- vsa,Kaseya VSA before 9.5.5 allows remote code execution.,2021-07-09,7.5,CVE-2021-30118, ,High
 ,kramerav -- viaware,"KramerAV VIAWare, all tested versions, allow privilege escalation through misconfiguration of sudo. Sudoers permits running of multiple dangerous commands, including unzip, systemctl and dpkg.",2021-07-12,7.5,CVE-2021-35064, ,High
 ,linux -- linux_kernel,"An out-of-bounds memory write flaw was found in the Linux kernel's joystick devices subsystem in versions before 5.9-rc1, in the way the user calls ioctl JSIOCSBTNMAP. This flaw allows a local user to crash the system or possibly escalate their privileges on the system. The highest threat from this vulnerability is to confidentiality, integrity, as well as system availability.",2021-07-09,7.2,CVE-2021-3612, ,High
 ,linuxptp_project -- linuxptp,"A flaw was found in the ptp4l program of the linuxptp package. A missing length check when forwarding a PTP message between ports allows a remote attacker to cause an information leak, crash, or potentially remote code execution. The highest threat from this vulnerability is to data confidentiality and integrity as well as system availability. This flaw affects linuxptp versions before 3.1.1, before 2.0.1, before 1.9.3, before 1.8.1, before 1.7.1, before 1.6.1 and before 1.5.1.",2021-07-09,8,CVE-2021-3570, ,High
 ,metinfo -- metinfo,SQL Injection vulnerability in Metinfo 7.0.0beta in index.php.,2021-07-12,7.5,CVE-2020-21132, ,High
 ,metinfo -- metinfo,SQL Injection vulnerability in Metinfo 7.0.0 beta in member/getpassword.php?lang=cn&a=dovalid.,2021-07-12,7.5,CVE-2020-21133, ,High
 ,microsoft -- exchange_server,"Microsoft Exchange Server Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31196, CVE-2021-34473.",2021-07-14,7.5,CVE-2021-31206, ,High
 ,microsoft -- windows_10,"Windows Kernel Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31979, CVE-2021-34514.",2021-07-14,7.2,CVE-2021-33771, ,High
 ,microsoft -- windows_10,Windows Security Account Manager Remote Protocol Security Feature Bypass Vulnerability,2021-07-14,7.5,CVE-2021-33757, ,High
 ,microsoft -- windows_10,Windows Secure Kernel Mode Security Feature Bypass Vulnerability,2021-07-14,7.2,CVE-2021-33744, ,High
 ,microsoft -- windows_10,"Windows Kernel Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-33771, CVE-2021-34514.",2021-07-14,7.2,CVE-2021-31979, ,High
 ,microsoft -- windows_10,Windows Media Remote Code Execution Vulnerability,2021-07-14,9.3,CVE-2021-33740, ,High
 ,nextcloud -- nextcloud_server,"Nextcloud Server is a Nextcloud package that handles data storage. Nextcloud Server supports application specific tokens for authentication purposes. These tokens are supposed to be granted to a specific applications (e.g. DAV sync clients), and can also be configured by the user to not have any filesystem access. Due to a lacking permission check, the tokens were able to change their own permissions in versions prior to 19.0.13, 20.0.11, and 21.0.3. Thus fileystem limited tokens were able to grant themselves access to the filesystem. The issue is patched in versions 19.0.13, 20.0.11, and 21.0.3. There are no known workarounds aside from upgrading.",2021-07-12,7.5,CVE-2021-32688, ,High
 ,nextcloud -- nextcloud_server,"Nextcloud Server is a Nextcloud package that handles data storage. In versions prior to 19.0.13, 20.011, and 21.0.3, webauthn tokens were not deleted after a user has been deleted. If a victim reused an earlier used username, the previous user could gain access to their account. The issue was fixed in versions 19.0.13, 20.0.11, and 21.0.3. There are no known workarounds.",2021-07-12,7.5,CVE-2021-32726, ,High
